Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Zombieland,12898.0,2009,Nut up or shut up.,"Comedy, Horror",Ruben Fleischer,/dUkAmAyPVqubSBNRjRqCgHggZcK.jpg,"""Nut up or shut up.""","washington dc, usa, sibling relationship, circus, post-apocalyptic future, blood splatter, gore, parody, road trip, zombie, survival horror, amusement park, twinkie, body count, zombification, disposing of a dead body, loner, aftercreditsstinger, zombie apocalypse, fear of clowns, actor playing themself"
The Final Destination,3786.0,2009,Rest in pieces.,"Horror, Mystery",David R. Ellis,/5vxXrr1MqGsT4NNeRITpfDnl4Rq.jpg,"""Rest in pieces.""","dying and death, plan, car race, gore, stock car racing, car crash, premonition, vision"
(500) Days of Summer,10781.0,2009,This is not a love story. This is a story about love.,"Comedy, Drama, Romance",Marc Webb,/qXAuQ9hF30sQRsXf40OfRVl0MJZ.jpg,"""This is not a love story. This is a story about love.""","jealousy, gallery, fight, date, architect, interview, sister, love, friends, fate, los angeles, california, summer, year, heartache"
Surrogates,3321.0,2009,How do you save humanity when the only thing that's real is you?,"Science Fiction, Action, Thriller",Jonathan Mostow,/v3Z0Hbl0oe57njrrIPh0fJPFoo.jpg,"""How do you save humanity when the only thing that's real is you?""","future, clone, dystopia, based on comic, murder, robot, questioning"
Jennifer's Body,4119.0,2009,She's evil... and not just high school evil.,"Horror, Comedy",Karyn Kusama,/wrkjsGcFJxcQqR56kJUYAEKKg2T.jpg,"""She's evil... and not just high school evil.""","high school, minnesota, possession, slumber party, gore, sexual murder, teenage girl, demon, rock band, succubus, satanic ritual, candlelight vigil, duringcreditsstinger, woman director, virgin sacrifice, frenemies, bloodthirsty"
Avatar,33334.0,2009,Enter the world of Pandora.,"Action, Adventure, Fantasy, Science Fiction",James Cameron,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,"""Enter the world of Pandora.""","future, society, culture clash, space travel, space war, space colony, tribe, romance, alien, futuristic, space, alien planet, marine, soldier, battle, love affair, nature, anti war, power relations, joyful"
Confessions of a Shopaholic,2712.0,2009,All she ever wanted was a little credit...,"Comedy, Romance",P.J. Hogan,/r17R9OIC0pKDqqsNore6atYLCVZ.jpg,"""All she ever wanted was a little credit...""","new york city, based on novel or book, department store, shop, shopping mall, romantic comedy, addiction, liar, credit card, financial journalist, debt collector, debt, advice columnist, fashion magazine, duringcreditsstinger"
Despicable Me,15785.0,2010,Superbad. Superdad.,"Family, Comedy, Animation, Science Fiction","Chris Renaud, Pierre Coffin",/9lOloREsAhBu0pEtU0BgeR1rHyo.jpg,"""Superbad. Superdad.""","parent child relationship, orphanage, adoptive father, life's dream, rivalry, ballet, stealing, little girl, orphan, tomboy, intelligent, evil doctor, duringcreditsstinger, supervillain, despicable, illumination, minions"
3 Idiots,2599.0,2009,Aal Izz Well!,"Drama, Comedy",Rajkumar Hirani,/66A9MqXOyVFCssoloscw79z8Tew.jpg,"""Aal Izz Well!""","suicide, suicide attempt, college, slapstick comedy, coming of age, friends, engineering, subjective camera"
The Book of Eli,6513.0,2010,Some will kill to have it. He will kill to protect it.,"Action, Thriller, Science Fiction","Albert Hughes, Allen Hughes",/1H1y9ZiqNFaLgQiRDDZLA55PviW.jpg,"""Some will kill to have it. He will kill to protect it.""","faith, chaos, dystopia, post-apocalyptic future, bible, survival, gunfight, blind, brutality, cannibal, combat, 2040s, carnage"
TRON: Legacy,7732.0,2010,The game has changed.,"Adventure, Action, Science Fiction",Joseph Kosinski,/vuifSABRpSnxCAOxEnWpNbZSXpp.jpg,"""The game has changed.""","artificial intelligence (a.i.), computer program, secret identity, dystopia, simulation, super computer, utopia, deception, computer simulation, sequel, computer game, 80s style, autocracy, light cycle"
Robin Hood,4871.0,2010,"Rise and rise again, until lambs become lions","Action, Adventure, History",Ridley Scott,/9NS5QGOfck24yL3bZqWeW06PgPC.jpg,"""Rise and rise again, until lambs become lions""","bank, economic crisis"
The Road,4133.0,2009,"In a moment, the world changed forever.","Adventure, Drama",John Hillcoat,/qLaXnLzqleBWQtjvZ6JGVSaKoC3.jpg,"""In a moment, the world changed forever.""","based on novel or book, dystopia, post-apocalyptic future, paternity, abandoned house, survival, on the road, duringcreditsstinger, starvation, bomb shelter, father son relationship, cannibalism"
The Ugly Truth,3690.0,2009,The battle of the sexes is on.,"Comedy, Romance",Robert Luketic,/2rq96Ihbqb1eU3TEBVtgFlqbeX7.jpg,"""The battle of the sexes is on.""","surgeon, sexism, romantic comedy, romance, television producer, morning show, relationship, sex toy, valentine's day, misogyny, opposites attract, sacramento"
Balto,2132.0,1995,His story became a legend. His adventure is one you'll never forget.,"Family, Animation, Adventure",Simon Wells,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,"""His story became a legend. His adventure is one you'll never forget.""","winter, husky, alaska, sled dogs, journey, talking animal"
Orphan,5498.0,2009,There's something wrong with Esther.,"Horror, Thriller",Jaume Collet-Serra,/lCGpOgoTOGLtZnBiGY9HRg5Xnjd.jpg,"""There's something wrong with Esther.""","nun, deaf-mute, orphan, troubled marriage, aftercreditsstinger, duringcreditsstinger"
Scott Pilgrim vs. the World,8366.0,2010,An epic of epic epicness.,"Action, Comedy, Romance",Edgar Wright,/g5IoYeudx9XBEfwNL0fHvSckLBz.jpg,"""An epic of epic epicness.""","canada, video game, ex-boyfriend, toronto, canada, based on comic, animated scene, based on graphic novel, whipping, hipster, underage girlfriend, unconsciousness, girl fight, vegan, aftercreditsstinger"
Cloudy with a Chance of Meatballs,6322.0,2009,Prepare to get served.,"Animation, Comedy, Family","Phil Lord, Christopher Miller",/qhOhIKf7QEyQ5dMrRUqs5eTX1Oq.jpg,"""Prepare to get served.""","inventor, weather, food, based on children's book"
Law Abiding Citizen,5515.0,2009,Justice at any cost.,"Drama, Crime, Thriller",F. Gary Gray,/fcEXcip7v0O1ndV4VUdFqJSqbOg.jpg,"""Justice at any cost.""","prison, assassin, philadelphia, pennsylvania, bomb, secret passage, deal, investigation, explosion, justice, criminal mastermind, district attorney, courtroom, rape and revenge, vigilantism, vigilante justice"
Saw VI,3431.0,2009,The game has come full circle.,"Horror, Thriller",Kevin Greutert,/sw9DItSlnxJZ0ClNTAzrJFyZbVS.jpg,"""The game has come full circle.""","sacrifice, sadism, fbi, apprentice, murder, torture, killer, agent, death, survival horror, death match, aftercreditsstinger, mind game, healthcare, death game, foreboding"
The Fourth Kind,1829.0,2009,There are four kinds of alien encounters. The fourth kind is abduction.,"Mystery, Science Fiction, Thriller",Olatunde Osunsanmi,/vfnsGUwurUQqlpvArBvUVc9rYXa.jpg,"""There are four kinds of alien encounters. The fourth kind is abduction.""","sibling relationship, investigation, wheelchair, hypnosis, based on true story, cover-up, ufo, alaska, disappearance, hospital, alien abduction, patient, psychotherapy, fake documentary, found footage, nome alaska, faked footage, audio cassette, anchorage alaska, police fake, duringcreditsstinger"
The Box,1843.0,2009,You are the experiment.,"Thriller, Science Fiction",Richard Kelly,/xMAmOu6xl4CsstixcuecBle9krd.jpg,"""You are the experiment.""","embassy, box"
The Blind Side,6686.0,2009,Based on the extraordinary true story,Drama,John Lee Hancock,/bMgq7VBriuBFknXEe9E9pVBYGZq.jpg,"""Based on the extraordinary true story""","sports, american football, adoption, private school, education, based on true story, memphis, tennessee, duringcreditsstinger, christian, high school football"
Legion,2786.0,2010,"When the last angel falls, the fight for mankind begins.","Action, Fantasy, Horror",Scott Stewart,/ykocDqwg5PRUopnBVb1x1DWnEJF.jpg,"""When the last angel falls, the fight for mankind begins.""","angel, diner, religion, apocalypse, demon, desert"
Up in the Air,3855.0,2009,The story of a man ready to make a connection.,"Drama, Romance",Jason Reitman,/useGH8nfwlaHK44IWEZdUYJOE2N.jpg,"""The story of a man ready to make a connection.""","police, studio, singer, singing"
Invictus,4273.0,2009,His people needed a leader. He gave them a champion.,"Drama, History",Clint Eastwood,/runuhBAAX7PmdjGhqRKCyl4bh7z.jpg,"""His people needed a leader. He gave them a champion.""","sports, stadium, south africa, apartheid, idealism, nelson mandela, based on true story, idealist, rugby, president, racism, poverty, celebration, duringcreditsstinger, 1990s, fighting the system"
The Cabin in the Woods,8349.0,2012,You think you know the story.,"Horror, Mystery, Comedy",Drew Goddard,/zZZe5wn0udlhMtdlDjN4NB72R6e.jpg,"""You think you know the story.""","giant snake, school party, motorcycle crash, abandoned house, woods, marijuana, cabin, apocalypse, zombie, werewolf, creature, cabin in the woods, video wall, speaker phone, young adult, college student"
Dear John,4233.0,2010,Love brought them together. Will fate tear them apart?,"Drama, Romance, War",Lasse Hallström,/2lAPv2jQ5eh54l4EttA9wjDljED.jpg,"""Love brought them together. Will fate tear them apart?""","army, based on novel or book, romance, love, u.s. soldier, 9/11"
Green Zone,2309.0,2010,Chief Warrant Officer Roy Miller is done following orders,"War, Action, Adventure, Drama, Thriller",Paul Greengrass,/czFIaeukSxNEccysQeys1PCkuOG.jpg,"""Chief Warrant Officer Roy Miller is done following orders""","conspiracy, soldier, iraq war, weapon of mass destruction, baghdad, iraqi , near east"
Tooth Fairy,2072.0,2010,You can't handle the tooth.,"Comedy, Family, Fantasy",Michael Lembeck,/cRZvw3bPomtucIUtMHZ3qPIYtYs.jpg,"""You can't handle the tooth.""","fairy, ice hockey, tooth fairy, tooth, duringcreditsstinger, wings"
Season of the Witch,2586.0,2011,Not all souls can be saved.,"Adventure, Fantasy, Action",Dominic Sena,/dNVqi8EsBtnnwfR6TgiWM51JOuS.jpg,"""Not all souls can be saved.""","witch, hero, ambush, fight, ritual, inquisition, monk, horse, knife, knight, middle ages (476-1453), catholic church, 14th century"
Hot Tub Time Machine,2647.0,2010,Forget the present. Change the future. Kick some past.,"Science Fiction, Comedy, Adventure",Steve Pink,/ipw2GJSPoQvYZkYyeGzoKsrgWVa.jpg,"""Forget the present. Change the future. Kick some past.""","poison, time travel, one-night stand, singer, peter pan syndrome, forty something, snow skiing, ski resort, 1980s, butterfly effect, 80s throwback, change the past"
The Invention of Lying,2242.0,2009,In a world where everyone can only tell the truth... This guy can lie.,"Comedy, Fantasy, Romance","Matthew Robinson, Ricky Gervais",/clP8tDZeM9jgnqmu4VBClBDpLtS.jpg,"""In a world where everyone can only tell the truth... This guy can lie.""","lie, religion, lies"
The Town,5427.0,2010,Welcome to the bank robbery capital of America.,"Crime, Drama, Thriller",Ben Affleck,/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg,"""Welcome to the bank robbery capital of America.""","drug dealer, based on novel or book, ambulance, boston, massachusetts, money laundering, bank manager, massachusetts, florist, flower shop, stolen money, hold-up robbery, volunteer, heist, friends, boston garden, police chase, best friend, bank robbery, car fire, fenway park"
Remember Me,3644.0,2010,Live in the moments.,"Drama, Romance",Allen Coulter,/j7umuMiLCHvWT7wYhFKJOTFSokF.jpg,"""Live in the moments.""","apocalypse, dating, short film"
Trick 'r Treat,2016.0,2007,"Poison, drowning, claw, or knife. So many ways to take a life.","Horror, Comedy",Michael Dougherty,/w0nmol4g7n6MFfhfphV7GzHHYjB.jpg,"""Poison, drowning, claw, or knife. So many ways to take a life.""","monster, grave, halloween, paranormal phenomena, undead, anthology, woods, serial killer, werewolf, corpse, school bus, holiday horror"
Alvin and the Chipmunks: The Squeakquel,3069.0,2009,The Boys are back in town... and they have competition.,"Comedy, Family, Animation, Fantasy, Music",Betty Thomas,/8mdPqOga5fty15nXmaNcK1fsNMa.jpg,"""The Boys are back in town... and they have competition.""","chipmunk, aftercreditsstinger, duringcreditsstinger, woman director, live action and animation"
A Nightmare on Elm Street,2840.0,2010,Welcome to your new nightmare.,"Horror, Mystery, Thriller",Samuel Bayer,/nsmW28GcNabCUZfP5YtUEe8Li0f.jpg,"""Welcome to your new nightmare.""","dream, nightmare, sadism, psychopath, sleep, child murder, supernatural, ohio, murder, slasher, trapped, alcoholic, boiler room, booby trap, disfigurement, medical test, nightmare becomes reality, supernatural horror"
Kick-Ass,12165.0,2010,Shut up. Kick-ass.,"Action, Crime",Matthew Vaughn,/iHMbrTHJwocsNvo5murCBw0CwTo.jpg,"""Shut up. Kick-ass.""","hero, secret identity, crime fighter, superhero, dark comedy, comic book, based on comic, murder, mafia, family, realism, mist, adventurer, rookie, young heroes, young adult, criminal heroes, unlikely heroes, heroes, pretending to be gay"
Dorian Gray,2203.0,2009,Forever Young. Forever Cursed.,"Fantasy, Drama, Thriller",Oliver Parker,/uRKt8nYdy7EO4uqeKVVpZRmqrxF.jpg,"""Forever Young. Forever Cursed.""",based on novel or book
Sucker Punch,4962.0,2011,You will be unprepared.,"Action, Fantasy, Thriller",Zack Snyder,/jtaUDnvIiHUd2ranDcjB5AbPx6o.jpg,"""You will be unprepared.""","corruption, love, prostitution, drugs"
Machete,3456.0,2010,They just messed with the wrong Mexican.,"Action, Comedy, Thriller","Robert Rodriguez, Ethan Maniquis",/dcPSm1rGEFdiEc7DaKz0t5kb66b.jpg,"""They just messed with the wrong Mexican.""","loss of loved one, illegal immigration, border patrol, immigration law, machete, politician, patrol, sniper rifle, hard to kill, brutal death"
Paranormal Activity,5302.0,2007,What happens when you sleep?,"Horror, Mystery",Oren Peli,/tmclkEpjeo4Zu564gf3KrwIOuKw.jpg,"""What happens when you sleep?""","haunting, psychic, entity, demonic possession, found footage"
The Twilight Saga: Eclipse,9119.0,2010,It all begins... with a choice.,"Adventure, Fantasy, Drama, Romance",David Slade,/dK4Gi1UdMiHzHc7r7CZQG4IQ9Sr.jpg,"""It all begins... with a choice.""","based on novel or book, immortality, vampire, bite, graduation, teen movie, werewolf, based on young adult novel, supernatural power, vampire human love"
Mary and Max,2155.0,2009,Sometimes perfect strangers make the best friends.,"Animation, Comedy, Drama",Adam Elliot,/ebmsM382m9IClLUzKYY2U5biFwM.jpg,"""Sometimes perfect strangers make the best friends.""","australia, chocolate, approach, letter, birthmark, only child, bullying, friendship bracelet, pen pals, atheist, loneliness, stop motion, neighbor, phone book, adult animation, unlikely friendship, correspondence, eating disorder, asperger's syndrome"
The Time Traveler's Wife,2634.0,2009,,"Drama, Romance, Fantasy",Robert Schwentke,/J3ewuzQwhFro0pDpdcbZ4j7MYy.jpg,"""nan""","future, husband wife relationship, based on novel or book, time travel, time, love, travel, tragic love, relationship, disorder, genetic disorder"
The Avengers,35419.0,2012,Some assembly required.,"Science Fiction, Action, Adventure",Joss Whedon,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,"""Some assembly required.""","based on novel or book, argentina, south america, swashbuckler"
Julie & Julia,2178.0,2009,Based on two true stories.,"Romance, Drama",Nora Ephron,/1QZNWOOwfRi86ZApGvr2TtJZPBK.jpg,"""Based on two true stories.""","cooking, cookbook, blog, 9/11, woman director, french cuisine, culinary arts, publishing"
Leap Year,2113.0,2010,Anna planned to propose to her boyfriend on February 29th. This is not her boyfriend.,"Romance, Comedy",Anand Tucker,/i86hMi5iEF3WnYLCaGHdT5FPdYg.jpg,"""Anna planned to propose to her boyfriend on February 29th. This is not her boyfriend.""","eroticism, crying, brutality"
The Secret in Their Eyes,2752.0,2009,An unsolved crime. A love story. An unwritten ending.,"Mystery, Thriller, Drama",Juan José Campanella,/dkeAwfZzwL3WvToydE3CXiY80E0.jpg,"""An unsolved crime. A love story. An unwritten ending.""","rape, police, kidnapping, homicide, writing, investigation, partner, murder, tension, argentina, justice, legal drama, secret"
Buried,2947.0,2010,"170,000 sq miles of desert. 90 minutes of oxygen. No way out.","Drama, Thriller, Mystery",Rodrigo Cortés,/splPNB0vAoNlb8l5WYxz2E3FK2G.jpg,"""170,000 sq miles of desert. 90 minutes of oxygen. No way out.""","race against time, isolation, coffin, buried alive, survival, terrorism, cell phone, desert, survival horror, aftercreditsstinger, captivity, confined, one location, lack of oxygen"
